lon,lat,elevation
7.63095,45.97782,2978
7.63138,45.97782,2981
7.63181,45.97782,2983
7.63224,45.97782,2983
7.63267,45.97782,2981
7.63309,45.97782,2977
7.63352,45.97782,2975
7.63395,45.97782,2975
7.63438,45.97782,2975
7.63481,45.97782,2976
7.63524,45.97782,2977
7.63567,45.97782,2978
7.63610,45.97782,2978
7.63653,45.97782,2979
7.63696,45.97782,2979
7.63739,45.97782,2980
7.63782,45.97782,2980
7.63824,45.97782,2981
7.63867,45.97782,2982
7.63910,45.97782,2983
7.63953,45.97782,2984
7.63996,45.97782,2984
7.64039,45.97782,2983
7.64082,45.97782,2981
7.64125,45.97782,2985
7.64168,45.97782,2992
7.64211,45.97782,3006
7.64254,45.97782,3023
7.64297,45.97782,3029
7.64339,45.97782,3040
7.64382,45.97782,3069
7.64425,45.97782,3107
7.64468,45.97782,3143
7.64511,45.97782,3178
7.64554,45.97782,3215
7.64597,45.97782,3254
7.64640,45.97782,3292
7.62451,45.97752,2913
7.62494,45.97752,2913
7.62537,45.97752,2913
7.62580,45.97752,2913
7.62623,45.97752,2915
7.62666,45.97752,2917
7.62709,45.97752,2922
7.62752,45.97752,2929
7.62794,45.97752,2937
7.62837,45.97752,2945
7.62880,45.97752,2954
7.62923,45.97752,2963
7.62966,45.97752,2972
7.63009,45.97752,2980
7.63052,45.97752,2987
7.63095,45.97752,2991
7.63138,45.97752,2993
7.63181,45.97752,2993
7.63224,45.97752,2991
7.63267,45.97752,2987
7.63309,45.97752,2983
7.63352,45.97752,2980
7.63395,45.97752,2978
7.63438,45.97752,2977
7.63481,45.97752,2978
7.63524,45.97752,2978
7.63567,45.97752,2979
7.63610,45.97752,2979
7.63653,45.97752,2979
7.63696,45.97752,2979
7.63739,45.97752,2980
7.63782,45.97752,2980
7.63824,45.97752,2980
7.63867,45.97752,2981
7.63910,45.97752,2984
7.63953,45.97752,2985
7.63996,45.97752,2984
7.64039,45.97752,2982
7.64082,45.97752,2982
7.64125,45.97752,2986
7.64168,45.97752,2995
7.64211,45.97752,3008
7.64254,45.97752,3019
7.64297,45.97752,3027
7.64339,45.97752,3045
7.64382,45.97752,3071
7.64425,45.97752,3114
7.64468,45.97752,3148
7.64511,45.97752,3183
7.64554,45.97752,3220
7.64597,45.97752,3258
7.64640,45.97752,3293
7.62451,45.97722,2932
7.62494,45.97722,2930
7.62537,45.97722,2930
7.62580,45.97722,2929
7.62623,45.97722,2932
7.62666,45.97722,2938
7.62709,45.97722,2944
7.62752,45.97722,2952
7.62794,45.97722,2960
7.62837,45.97722,2969
7.62880,45.97722,2977
7.62923,45.97722,2985
7.62966,45.97722,2994
7.63009,45.97722,3001
7.63052,45.97722,3004
7.63095,45.97722,3006
7.63138,45.97722,3005
7.63181,45.97722,3003
7.63224,45.97722,2999
7.63267,45.97722,2995
7.63309,45.97722,2990
7.63352,45.97722,2986
7.63395,45.97722,2982
7.63438,45.97722,2980
7.63481,45.97722,2979
7.63524,45.97722,2980
7.63567,45.97722,2981
7.63610,45.97722,2981
7.63653,45.97722,2980
7.63696,45.97722,2979
7.63739,45.97722,2980
7.63782,45.97722,2980
7.63824,45.97722,2980
7.63867,45.97722,2982
7.63910,45.97722,2984
7.63953,45.97722,2985
7.63996,45.97722,2983
7.64039,45.97722,2982
7.64082,45.97722,2983
7.64125,45.97722,2988
7.64168,45.97722,2997
7.64211,45.97722,3011
7.64254,45.97722,3019
7.64297,45.97722,3028
7.64339,45.97722,3043
7.64382,45.97722,3075
7.64425,45.97722,3123
7.64468,45.97722,3159
7.64511,45.97722,3195
7.64554,45.97722,3232
7.64597,45.97722,3269
7.64640,45.97722,3304
7.62451,45.97692,2956
7.62494,45.97692,2952
7.62537,45.97692,2950
7.62580,45.97692,2951
7.62623,45.97692,2954
7.62666,45.97692,2963
7.62709,45.97692,2974
7.62752,45.97692,2982
7.62794,45.97692,2990
7.62837,45.97692,2998
7.62880,45.97692,3004
7.62923,45.97692,3011
7.62966,45.97692,3015
7.63009,45.97692,3017
7.63052,45.97692,3024
7.63095,45.97692,3021
7.63138,45.97692,3018
7.63181,45.97692,3013
7.63224,45.97692,3008
7.63267,45.97692,3004
7.63309,45.97692,2998
7.63352,45.97692,2993
7.63395,45.97692,2988
7.63438,45.97692,2985
7.63481,45.97692,2982
7.63524,45.97692,2982
7.63567,45.97692,2983
7.63610,45.97692,2982
7.63653,45.97692,2980
7.63696,45.97692,2979
7.63739,45.97692,2980
7.63782,45.97692,2980
7.63824,45.97692,2980
7.63867,45.97692,2981
7.63910,45.97692,2983
7.63953,45.97692,2983
7.63996,45.97692,2981
7.64039,45.97692,2980
7.64082,45.97692,2983
7.64125,45.97692,2989
7.64168,45.97692,2996
7.64211,45.97692,3009
7.64254,45.97692,3018
7.64297,45.97692,3027
7.64339,45.97692,3031
7.64382,45.97692,3082
7.64425,45.97692,3133
7.64468,45.97692,3174
7.64511,45.97692,3211
7.64554,45.97692,3249
7.64597,45.97692,3287
7.64640,45.97692,3323
7.62451,45.97663,2983
7.62494,45.97663,2978
7.62537,45.97663,2975
7.62580,45.97663,2977
7.62623,45.97663,2983
7.62666,45.97663,2993
7.62709,45.97663,3005
7.62752,45.97663,3014
7.62794,45.97663,3022
7.62837,45.97663,3030
